# TableTheory Coverage Roadmap — COV-5 targets
# Format: <package> <min_percent>
github.com/theory-cloud/tabletheory/v3 80
github.com/theory-cloud/tabletheory/v3/internal/expr 80
github.com/theory-cloud/tabletheory/v3/internal/numutil 80
github.com/theory-cloud/tabletheory/v3/internal/reflectutil 80
github.com/theory-cloud/tabletheory/v3/pkg/consistency 80
github.com/theory-cloud/tabletheory/v3/pkg/core 80
github.com/theory-cloud/tabletheory/v3/pkg/errors 80
github.com/theory-cloud/tabletheory/v3/pkg/index 80
github.com/theory-cloud/tabletheory/v3/pkg/interfaces 80
github.com/theory-cloud/tabletheory/v3/pkg/marshal 80
github.com/theory-cloud/tabletheory/v3/pkg/mocks 80
github.com/theory-cloud/tabletheory/v3/pkg/model 80
github.com/theory-cloud/tabletheory/v3/pkg/naming 80
github.com/theory-cloud/tabletheory/v3/pkg/protection 80
github.com/theory-cloud/tabletheory/v3/pkg/query 80
github.com/theory-cloud/tabletheory/v3/pkg/schema 80
github.com/theory-cloud/tabletheory/v3/pkg/session 80
github.com/theory-cloud/tabletheory/v3/pkg/testing 80
github.com/theory-cloud/tabletheory/v3/pkg/transaction 80
github.com/theory-cloud/tabletheory/v3/pkg/types 80
github.com/theory-cloud/tabletheory/v3/pkg/validation 80
